period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
5/1/2012,5/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Multi-Family (2-4 Unit),4,307000,-0.031545741,0.033670034,359900,0.068110996,0.107555008,182.9268293,0.00771407,-0.036011313,207.0524412,0.034545762,0.153573257,145,0.035714286,0.013986014,180,0.313868613,0.161290323,137,0.12295082,-0.14375,315,-0.045454545,-0.467005076,2.2,-0.2,-1.9,38,-1,-23,0.977443296,0.019894939,0.019936717,0.206896552,0.028325123,-0.023872679,0.133333333,-0.024242424,-0.078172589,0.183333333,0.022749392,0.067204301,"San Diego, CA",41740,10/16/2024 14:24
5/1/2012,5/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,All Residential,-1,328000,0.009230769,0.025,371500,0.061428571,0.064469914,203.379224,0.019483348,0.000109264,219.7324709,0.01452692,0.029347407,3403,0.071473552,0.177101349,4368,0.064327485,0.160467588,3663,0.016935036,-0.117349398,7577,-0.058172778,-0.419030823,2.2,-0.3,-2.3,39,-8,-17,0.977277019,0.00174036,0.005370327,0.248310314,0.019406032,0.028663134,0.24481985,0.004173485,-0.061804901,0.249542125,0.010019707,0.081369967,"San Diego, CA",41740,10/16/2024 14:24
5/1/2012,5/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Condo/Co-op,3,230000,0.179487179,0.138613861,251450,0.011871227,0.117555556,201.3204681,0.046076942,0.001332171,222.8882755,0.015223022,0.056147453,794,0.219662058,0.183308495,1128,0.12238806,0.231441048,853,-0.076839827,-0.080818966,1764,-0.080771235,-0.436961379,2.2,-0.7,-2.5,42,-7,-24,0.980173494,0.002699027,0.006149312,0.244332494,0.007773354,0.022275862,0.219387755,0.013551382,-0.07362214,0.27393617,-0.018601143,0.099263681,"San Diego, CA",41740,10/16/2024 14:24
5/1/2012,5/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Single Family Residential,6,370000,0.027777778,0,415000,0.0375,0.050632911,205.1470588,0.017961117,-0.013526068,220.0496706,0.016881694,0.023345341,2309,0.073953488,0.237406217,2867,0.04903037,0.187655344,2524,0.055183946,-0.094041637,5174,-0.046969976,-0.397391102,2.2,-0.3,-2.4,37,-11,-16,0.97684388,0.001377111,0.0053061,0.257254223,0.025161199,0.042356045,0.251449555,0.002048192,-0.057541826,0.244157656,0.021325603,0.078457573,"San Diego, CA",41740,10/16/2024 14:24
5/1/2012,5/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Townhouse,13,240000,-0.043824701,-0.020408163,270000,0.025641026,0.007462687,192.8571429,-0.062941176,0.060074256,203.4562212,-0.045057886,-0.064251153,155,-0.340425532,-0.265402844,194,-0.152838428,-0.304659498,149,-0.091463415,-0.460144928,324,-0.117166213,-0.557377049,2.1,0.5,-1.4,43,5,-2,0.968732975,-0.012790805,-0.009403518,0.174193548,-0.03431709,-0.072251949,0.395061728,0.016315134,-0.039364501,0.24742268,-0.005852429,0.050290064,"San Diego, CA",41740,10/16/2024 14:24
6/1/2012,6/30/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,All Residential,-1,333000,0.015243902,0.040625,370000,-0.004037685,0.06017192,205.0637135,0.008282505,0.008127598,222.007722,0.010354642,0.057579318,3404,0.000293858,0.10591293,3938,-0.098443223,0.025520833,3714,0.013923014,-0.085221675,7409,-0.022172364,-0.432868953,2.2,0,-2,35,-4,-19,0.981220819,0.0039438,0.008220607,0.281433608,0.033123293,0.04654082,0.230800378,-0.014019472,-0.084646652,0.273743017,0.024200892,0.12426385,"San Diego, CA",41740,10/16/2024 14:24
6/1/2012,6/30/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Single Family Residential,6,380000,0.027027027,0.034717495,419900,0.011807229,0.055025126,207.2072072,0.0100423,0.007810738,223.1343284,0.014018007,0.043001053,2317,0.003464703,0.124211548,2687,-0.062783397,0.072226656,2498,-0.010301109,-0.082966226,5025,-0.028797835,-0.420482067,2.2,0,-2,35,-2,-17,0.980871774,0.004027894,0.00783182,0.283987915,0.026733693,0.056428478,0.239800995,-0.01164856,-0.076656161,0.26646818,0.022310524,0.119620614,"San Diego, CA",41740,10/16/2024 14:24
6/1/2012,6/30/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Multi-Family (2-4 Unit),4,315000,0.026058632,0.145454545,325000,-0.096971381,-0.029850746,188.5504202,0.030742297,0.067704974,205.3278689,-0.008329157,0.128349918,123,-0.151724138,0.016528926,134,-0.255555556,-0.202380952,122,-0.109489051,-0.340540541,292,-0.073015873,-0.48951049,2.4,0.2,-2.3,51,13,-17,0.968678519,-0.008764777,0.013397992,0.235772358,0.028875806,0.053954176,0.143835616,0.010502283,-0.06245809,0.194029851,0.010696517,0.039267946,"San Diego, CA",41740,10/16/2024 14:24
6/1/2012,6/30/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Condo/Co-op,3,230000,0,0.12195122,255000,0.014118115,0.159090909,202.8786275,0.007739697,0.039116262,219.5945946,-0.014777273,0.080348518,828,0.042821159,0.203488372,955,-0.153368794,0.041439477,911,0.067995311,0.067995311,1758,-0.003401361,-0.421520237,2.1,-0.1,-2.3,35,-7,-22,0.983183503,0.003010009,0.008963785,0.277777778,0.033445284,0.017603359,0.200796359,-0.018591396,-0.099631413,0.287958115,0.014021945,0.133105334,"San Diego, CA",41740,10/16/2024 14:24
6/1/2012,6/30/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Townhouse,13,221000,-0.079166667,-0.146718147,295000,0.092592593,0.163019909,183.8421675,-0.046744317,-0.070120491,227.2048847,0.11672616,0.147381498,136,-0.122580645,-0.346153846,162,-0.164948454,-0.34939759,183,0.228187919,-0.38590604,334,0.030864198,-0.573435504,2.5,0.4,-1.3,32,-11,-30,0.986466751,0.017733776,0.007586003,0.301470588,0.12727704,0.046662896,0.353293413,-0.041768315,-0.101368145,0.37654321,0.129120529,0.223932768,"San Diego, CA",41740,10/16/2024 14:24
7/1/2012,7/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,All Residential,-1,340000,0.021021021,0.061839668,365000,-0.013513514,0.076696165,207.0207021,0.00954332,0.02999688,224.274595,0.010210784,0.064861168,3177,-0.066686251,0.112784588,3839,-0.025139665,0.055830583,3540,-0.046849758,-0.041689226,7218,-0.025779457,-0.440855217,2.3,0.1,-2.2,32,-3,-22,0.98201822,0.000797401,0.008640793,0.276046585,-0.005387023,0.046274256,0.241202549,0.010402171,-0.068736253,0.263610315,-0.010132702,0.126371591,"San Diego, CA",41740,10/16/2024 14:24
7/1/2012,7/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Single Family Residential,6,375000,-0.013157895,0.02739726,399992.5,-0.047410098,0.052611842,208.7565475,0.007477251,0.012574688,226.4143396,0.014699716,0.074458973,2180,-0.059128183,0.14918292,2585,-0.037960551,0.107540703,2330,-0.067253803,-0.043906442,4836,-0.03761194,-0.436823105,2.2,0,-2.3,31,-4,-20,0.980926735,5.50E-05,0.006817363,0.280275229,-0.003712686,0.047275757,0.257444169,0.017643174,-0.062807374,0.247969052,-0.018499128,0.120291246,"San Diego, CA",41740,10/16/2024 14:24
7/1/2012,7/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Condo/Co-op,3,235000,0.02173913,0.27027027,250000,-0.019607843,0.119570085,206.871345,0.019680326,0.11770489,220.1704545,0.002622378,0.028911102,731,-0.117149758,0.184764992,942,-0.013612565,0.126794258,912,0.001097695,0.119018405,1758,0,-0.412040134,2.4,0.3,-2.4,37,2,-32,0.985098184,0.001914681,0.009902544,0.273597811,-0.004179967,0.03048598,0.201934016,0.001137656,-0.077999094,0.304670913,0.016712798,0.151560865,"San Diego, CA",41740,10/16/2024 14:24
7/1/2012,7/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Multi-Family (2-4 Unit),4,292500,-0.071428571,-0.0859375,359950,0.107538462,0.028722492,182.7217125,-0.030913257,-0.001634642,209.7399004,0.021487738,0.106685387,122,-0.008130081,-0.134751773,134,0,-0.04964539,144,0.180327869,-0.033557047,305,0.044520548,-0.455357143,2.5,0.1,-1.5,35,-16,-30,0.988932309,0.02025379,0.031401212,0.278688525,0.042916167,0.065922567,0.144262295,0.000426679,-0.062880562,0.194029851,0,0.080554673,"San Diego, CA",41740,10/16/2024 14:24
